Karanja, Chopan Cluster, Dhamkund, Z. P. Pri.school
Karanja, Nara Cluster, Parsodi, Z. P. Pri.school
Karanja, Nara Cluster, Sawardhoh, Z. P. Pri.school
Karanja, Nara Cluster, Belgaon, Z. P. Up. Pri.school
Karanja, Nara Cluster, Nara, Z. P. Up. Pri.school
Karanja, Nara Cluster, Susundra, Z. P. Up. Pri.school
Karanja, Nara Cluster, Taroda, Z. P. Up. Pri.school
Karanja, Nara Cluster, Kakda, Z. P.pri.school
Karanja, Sarwadi Cluster, Sarwadi, M. Fule Vidyalaya
Karanja, Sarwadi Cluster, Pardi, Pardi High School
Karanja, Sarwadi Cluster, Pardi, Z. P. Pri.school (k)
Karanja, Sarwadi Cluster, Pardi, Z. P. Pri.school (m)
Karanja, Sarwadi Cluster, Ekamba, Z. P. Pri.school
Karanja, Sarwadi Cluster, Khinhala, Z. P. Pri.school
Karanja, Sarwadi Cluster, Narsingpur, Z. P. Pri.school
Karanja, Sarwadi Cluster, Panjara B, Z. P. Pri.school
Karanja, Sarwadi Cluster, Pardhi T, Z. P. Pri.school
Karanja, Sarwadi Cluster, Ranwadi, Z. P. Pri.school
Karanja, Sarwadi Cluster, Botona, Z. P. Up. Pri.school
Karanja, Sarwadi Cluster, Jasapur, Z. P. Up. Pri.school
Karanja, Sarwadi Cluster, Sarwadi, Z. P. Up. Pri.school
Karanja, Sarwadi Cluster, Malegaon K, Z. P. Up. Pri.school
Karanja, Sawali (b) Cluster, Chincholi, Madyamik Vidyalaya
Karanja, Sawali (b) Cluster, Ekarjun, Z. P. Pri.school
Karanja, Sawali (b) Cluster, Bhalewadi, Z. P. Pri.school
Karanja, Sawali (b) Cluster, Chincholi, Z. P. Pri.school
Karanja, Sawali (b) Cluster, Junapani, Z. P. Pri.school
Karanja, Sawali (b) Cluster, Palora, Z. P. Pri.school
Karanja, Sawali (b) Cluster, Rajani, Z. P. Pri.school
Karanja, Sawali (b) Cluster, Sonegaon, Z. P. Pri.school
Karanja, Sawali (b) Cluster, Bondarthana, Z. P. Up. Pri.school
Karanja, Sawali (b) Cluster, Borgaon Dhole, Z. P. Up. Pri.school
Karanja, Sawali (b) Cluster, Sawali Bu, Z. P. Up. Pri.school
Karanja, Sawali (b) Cluster, Selgaon U, Z. P. Up. Pri.school
Karanja, Sindhivihiri Cluster, Babgadapur
Karanja, Sindhivihiri Cluster, Sindhivihiri, Govt. Ashram School
Karanja, Sindhivihiri Cluster, Kannamwargram, Gram Vikas Pri. School
Karanja, Sindhivihiri Cluster, Kannamwargram, Kr. Dadasaheb K. Vidyala
Karanja, Sindhivihiri Cluster, Bangdapur, Matoshri Laxmibai Vyawahare Junior College
Karanja, Sindhivihiri Cluster, Sindhivihiri, Ramdas Athwale Vidyala
Karanja, Sindhivihiri Cluster, Z. P. Pri.school
Karanja, Sindhivihiri Cluster, Borgaon Go, Z. P. Pri.school
Karanja, Sindhivihiri Cluster, Heti K, Z. P. Pri.school
Karanja, Sindhivihiri Cluster, Maragsur, Z. P. Pri.school
Karanja, Sindhivihiri Cluster, Nandora, Z. P. Pri.school
Karanja, Sindhivihiri Cluster, Sindhivihiri, Z. P. Up. Pri.school
Karanja, Umari Cluster, Umari, Somnath Vidya Mandir
Karanja, Umari Cluster, Umari, Z. P. Kendra Up. Pri.school
Karanja, Umari Cluster, Dhawadi B, Z. P. Pri.school
Karanja, Umari Cluster, Dhawadi K, Z. P. Pri.school
Karanja, Umari Cluster, Linga, Z. P. Pri.school
Karanja, Umari Cluster, Pipri, Z. P. Pri.school
Karanja, Umari Cluster, Sawal, Z. P. Pri.school
Karanja, Umari Cluster, Dhawasa H, Z. P. Up. Pri.school
Karanja, Umari Cluster, Gawandi, Z. P. Up. Pri.school
Karanja, Umari Cluster, Yengaon, Z. P. Up. Pri.school
